variable_name,variable_description,variable_source,form_location,variable_coverage,form_scope,variable_datatype
F9_09_EXP_OTH_OTH_TOT,Other expenses - total expense,PC,F990-PC-PART-09-LINE-24E-COL-A,2020-2022,PZ-501C3,numeric;integer
F9_09_EXP_OTH_SAL_WAGE_TOT,Other Salaries And Wages - Total,PC,F990-PC-PART-09-LINE-07-COL-A,1995-2022,PZ-501C3,integer;integer64;numeric
F9_09_EXP_OTH_TOT,Other Expenses - Total,PC,F990-PC-PART-09-LINE-24-ABCD-COL-A,2020-2022,PZ-501C3,numeric
F9_09_EXP_PAYROLL_TAX_TOT,Payroll Taxes - Total,PC,F990-PC-PART-09-LINE-10-COL-A,1995-2022,PZ-501C3,integer64;integer;numeric
F9_09_EXP_PAY_AFFIL_TOT,Payments To Affiliates - Total,PC,F990-PC-PART-09-LINE-21-COL-A,1995-2013; 2020-2022,PZ-501C3,integer;integer64;numeric
F9_09_EXP_PENSION_CONTR_TOT,Pension Plan Contributions - Total,PC,F990-PC-PART-09-LINE-08-COL-A,2008-2013; 2020-2022,PZ-501C3,integer;numeric
F9_09_EXP_ROY_TOT,Royalties - Total,PC,F990-PC-PART-09-LINE-15-COL-A,2020-2022,PZ-501C3,numeric;integer
F9_09_EXP_TOT_TOT,Total Functional Expenses - Total,PC,F990-PC-PART-09-LINE-25-COL-A,1989-2022,PZ-501C3,integer64;numeric
F9_09_EXP_TRAVEL_ENTMT_TOT,Travel Entrtnmnt Public Officials - Total,PC,F990-PC-PART-09-LINE-18-COL-A,2020-2022,PZ-501C3,integer
F9_09_EXP_TRAVEL_TOT,Travel - Total,PC,F990-PC-PART-09-LINE-17-COL-A,2020-2022,PZ-501C3,integer
F9_10_ASSET_ACC_NET_EOY,"Net accounts receivable, end of year",PC,F990-PC-PART-10-LINE-04-EOY,2020-2022,PZ-501C3,numeric
F9_10_ASSET_CASH_EOY,"Cash, non-interest-bearing, end of year",PZ,F990-PC-PART-10-LINE-01-EOY,1995-2013; 2020-2022,PZ-501C3,integer;numeric
F9_10_ASSET_EXP_PREPAID_EOY,Ending of year,PC,F990-PC-PART-10-LINE-09-EOY,2020-2022,PZ-501C3,numeric
F9_10_ASSET_INTANGIBLE_EOY,Ending of year,PC,F990-PC-PART-10-LINE-14-EOY,2020-2022,PZ-501C3,numeric
F9_10_ASSET_INVEST_PROG_RLTD_EOY,Ending of year,PZ,F990-PC-PART-10-LINE-13-EOY,2020-2022,PZ-501C3,numeric
F9_10_ASSET_INVEST_SEC_EOY,Ending of year,PZ,F990-PC-PART-10-LINE-11-EOY,1995-2013; 2020-2022,PZ-501C3,integer64;integer;numeric
F9_10_ASSET_INVEST_SEC_OTH_EOY,Ending of year,PZ,F990-PC-PART-10-LINE-12-EOY,1995-2013; 2020-2022,PZ-501C3,integer;integer64;numeric
F9_10_ASSET_INV_SALE_EOY,Ending of year,PC,F990-PC-PART-10-LINE-08-EOY,2020-2022,PZ-501C3,numeric
F9_10_ASSET_LAND_BLDG,Land; buildings; and equipment basis,"PC;
PZ",F990-PC-PART-10-LINE-10A,1995-2007,PZ-501C3,integer;integer64
F9_10_ASSET_LAND_BLDG_DEPREC,Less: accumulated depreciation,PC,F990-PC-PART-10-LINE-10B,2020-2022,PZ-501C3,numeric
F9_10_ASSET_LAND_BLDG_NET_BOY,Net value including lands; buildings; and equipment; beginning of year,PZ,"F990-EZ-PART-02-LINE-23-BOY;
F990-PC-PART-10-LINE-10C-BOY",1995-2010,PZ-501C3,integer;integer64
F9_10_ASSET_LAND_BLDG_NET_EOY,Net value including lands; buildings; and equipment; end of year,PZ,"F990-EZ-PART-02-LINE-23-EOY;
F990-PC-PART-10-LINE-10C-EOY",1995-2013,PZ-501C3,integer;integer64
F9_10_ASSET_LOAN_DSQ_PERS_EOY,Ending of year,PC,F990-PC-PART-10-LINE-06-EOY,2020-2022,PZ-501C3,numeric;integer
F9_10_ASSET_LOAN_OFF_EOY,Ending of year,PC,F990-PC-PART-10-LINE-05-EOY,2020-2022,PZ-501C3,numeric
F9_10_ASSET_NOTE_LOAN_NET_EOY,Ending of year,PC,F990-PC-PART-10-LINE-07-EOY,2020-2022,PZ-501C3,numeric
F9_10_ASSET_OTH_EOY,Ending of year,PZ,F990-PC-PART-10-LINE-15-EOY,1995-2013; 2020-2022,PZ-501C3,integer;integer64;numeric
F9_10_ASSET_PLEDGE_NET_EOY,Ending of year,PC,F990-PC-PART-10-LINE-03-EOY,2020-2022,PZ-501C3,numeric
F9_10_ASSET_SAVING_EOY,Ending of year,PZ,F990-PC-PART-10-LINE-02-EOY,2020-2022,PZ-501C3,numeric
F9_10_ASSET_TOT_BOY,"Total assets, beginning of year",PZ,"F990-EZ-PART-02-LINE-25-BOY;
F990-PC-PART-10-LINE-16-BOY",1989-2019,PZ-501C3,integer64
F9_10_ASSET_TOT_EOY,"Total assets, end of year",PZ,"F990-EZ-PART-02-LINE-25-EOY;
F990-PC-PART-10-LINE-16-EOY",1989-2022,PZ-501C3,integer64;numeric
F9_10_LIAB_ACC_PAYABLE_EOY,"Accounts payable and accrued expenses, end of year",PC,F990-PC-PART-10-LINE-17-EOY,2020-2022,PZ-501C3,numeric
F9_10_LIAB_ESCROW_ACC_EOY,"Escrow or custodial account liability, end of year",PC,F990-PC-PART-10-LINE-21-EOY,2020-2022,PZ-501C3,numeric;integer
F9_10_LIAB_GRANT_PAYABLE_EOY,Ending of year,PC,F990-PC-PART-10-LINE-18-EOY,2020-2022,PZ-501C3,numeric
F9_10_LIAB_LOAN_OFF_EOY,Ending of year,PC,F990-PC-PART-10-LINE-22-EOY,2020-2022,PZ-501C3,numeric
F9_10_LIAB_MTG_NOTE_BOY,Beginnning of year,PC,F990-PC-PART-10-LINE-23-BOY,1995-2019,PZ-501C3,integer;integer64
F9_10_LIAB_MTG_NOTE_EOY,Ending of year,PC,F990-PC-PART-10-LINE-23-EOY,1995-2022,PZ-501C3,integer;integer64;numeric
F9_10_LIAB_NOTE_UNSEC_EOY,Ending of year,PC,F990-PC-PART-10-LINE-24-EOY,2009-2022,PZ-501C3,integer;integer64;numeric
F9_10_LIAB_OTH_EOY,Ending of year,PC,F990-PC-PART-10-LINE-25-EOY,2020-2022,PZ-501C3,numeric
F9_10_LIAB_REV_DEFERRED_EOY,"Deferred revenue, end of year",PC,F990-PC-PART-10-LINE-19-EOY,2020-2022,PZ-501C3,numeric
F9_10_LIAB_TAX_EXEMPT_BOND_BOY,Beginnning of year,PC,F990-PC-PART-10-LINE-20-BOY,1995-2019,PZ-501C3,integer;integer64
F9_10_LIAB_TAX_EXEMPT_BOND_EOY,Ending of year,PC,F990-PC-PART-10-LINE-20-EOY,1995-2022,PZ-501C3,integer;integer64;numeric
F9_10_LIAB_TOT_BOY,"Total liabilities, beginning of year",PZ,"F990-EZ-PART-02-LINE-26-BOY;
F990-PC-PART-10-LINE-26-BOY",1989-2019,PZ-501C3,integer64
F9_10_LIAB_TOT_EOY,"Total liabilities, end of year",PZ,"F990-EZ-PART-02-LINE-26-EOY;
F990-PC-PART-10-LINE-26-EOY",1989-2022,PZ-501C3,integer64;numeric
F9_10_NAFB_CAP_STCK_EOY,"Capital stock or trust principal, or current funds, end of year",PC,F990-PC-PART-10-LINE-30-EOY,2020-2022,PZ-501C3,numeric
F9_10_NAFB_CAP_SURPLUS_EOY,Ending of year,PC,F990-PC-PART-10-LINE-31-EOY,2020-2022,PZ-501C3,numeric
F9_10_NAFB_EARNING_RETAINED_BOY,Beginnning of year,PC,F990-PC-PART-10-LINE-32-BOY,1995-2019,PZ-501C3,integer;integer64
F9_10_NAFB_EARNING_RETAINED_EOY,Ending of year,PC,F990-PC-PART-10-LINE-32-EOY,1989-2022,PZ-501C3,integer;integer64;numeric
F9_10_NAFB_RESTRICT_PERM_EOY,Ending of year,PC,F990-PC-PART-10-LINE-29-EOY,1995-2010; 2020-2022,PZ-501C3,integer;integer64
F9_10_NAFB_RESTRICT_TEMP_EOY,Ending of year,PC,F990-PC-PART-10-LINE-28-EOY,1995-2010; 2020-2022,PZ-501C3,integer;integer64;numeric
F9_10_NAFB_TOT_BOY,"Net assets or fund balances, beginning of year",PZ,"F990-EZ-PART-02-LINE-27-BOY;
F990-PC-PART-10-LINE-33-BOY",1995-2019,PZ-501C3,integer;integer64
F9_10_NAFB_TOT_EOY,"Net assets or fund balances, end of year",PZ,"F990-EZ-PART-02-LINE-27-EOY;
F990-PC-PART-10-LINE-33-EOY",2020-2022,PZ-501C3,numeric
F9_10_NAFB_TOT_LIAB_NAFB_EOY,Ending of year,PC,F990-PC-PART-10-LINE-34-EOY,2020-2022,PZ-501C3,numeric
F9_10_NAFB_UNRESTRICT_EOY,Ending of year,PC,F990-PC-PART-10-LINE-27-EOY,1995-2010; 2020-2022,PZ-501C3,integer64;integer;numeric
F9_11_RECO_OTH_CHANGE_NAFB,Other changes in net assets,PZ,"F990-EZ-PART-01-LINE-20;
F990-PC-PART-11-LINE-09",1995-2022,PZ-501C3,integer;integer64;numeric
GEO_ZIP5,5-digit Zip Code,NA,NA,1989-2019,PZ-501C3,integer;character
MISSION_NTEE,NTEE Codes,NA,NA,1989-2019,PZ-501C3,character
RTRN_ID,Unique ID,NA,NA,,PZ-501C3,
SA_01_PCSTAT_ORG_AMT_SUPPORT,Amount of support,PZ,SCHED-A-PART-01-LINE-12G-COL-v,2020-2022,PZ-501C3,numeric
SA_01_PCSTAT_SUPPORT_ORG_NUM,Number of supported organizations,PZ,SCHED-A-PART-01-LINE-12F,2020-2022,PZ-501C3,integer
SA_02_PUB_CONTR_SBST_TOT,Amounts from substantial contributors total,PZ,SCHED-A-PART-02-SECTION-A-LINE-05-COL-F,2020-2022,PZ-501C3,numeric
SA_02_PUB_GIFT_GRANT_CONTR_CY,Current tax year,PZ,SCHED-A-PART-02-SECTION-A-LINE-01-COL-E,1995-2010,PZ-501C3,integer;integer64
SA_02_PUB_GIFT_GRANT_CONTR_TOT,Gifts Grants Contri Rcvd170 Grp - Total,PZ,SCHED-A-PART-02-SECTION-A-LINE-01-COL-F,2009-2022,PZ-501C3,integer;integer64;numeric
SA_02_PUB_SUPPORT_TOT,Public Support Total,PZ,SCHED-A-PART-02-SECTION-A-LINE-06-COL-F,1995-2013; 2020-2022,PZ-501C3,integer;integer64;numeric
SA_02_PUB_TAXREV_LEVIED_TOT,Tax Rev Levied For Org Benefit170 - Total,PZ,SCHED-A-PART-02-SECTION-A-LINE-02-COL-F,2009-2022,PZ-501C3,integer;numeric
SA_02_PUB_TOT_L123_TOT,Total - Total - Total,PZ,SCHED-A-PART-02-SECTION-A-LINE-04-COL-F,2020-2022,PZ-501C3,numeric
SA_02_PUB_VALUE_SVC_GOVT_TOT,Govt Furn Srvc Fclts Vl170 Grp - Total,PZ,SCHED-A-PART-02-SECTION-A-LINE-03-COL-F,1995-2022,PZ-501C3,integer;numeric
SA_02_TOT_AMT_L4_CY_TOT,Amounts From Line4 - Total,PZ,SCHED-A-PART-02-SECTION-B-LINE-07-COL-F,2020-2022,PZ-501C3,numeric
SA_02_TOT_GRO_RCPT_RLTD_ACTS,Gross receipts from admissions; merchandise sold or services performed; or furnishing of facilities in any activity that is related to the organization's tax-exempt purpose,PZ,SCHED-A-PART-02-SECTION-B-LINE-12,1995-2022,PZ-501C3,integer;integer64;numeric
SA_02_TOT_INCOME_GRO_TOT,Gross Investment Income - Total,PZ,SCHED-A-PART-02-SECTION-B-LINE-08-COL-F,2009-2022,PZ-501C3,integer;integer64
SA_02_TOT_INCOME_NET_UBIZ_TOT,Net UBI - Total,PZ,SCHED-A-PART-02-SECTION-B-LINE-09-COL-F,2020-2022,PZ-501C3,numeric
SA_02_TOT_INCOME_OTH_TOT,Other Income - Total,PZ,SCHED-A-PART-02-SECTION-B-LINE-10-COL-F,2020-2022,PZ-501C3,numeric
SA_02_TOT_SUPPORT_TOT,Form990 Schedule APart II - Total support,PZ,SCHED-A-PART-02-SECTION-B-LINE-11-COL-F,2020-2022,PZ-501C3,numeric
SA_03_PUB_ADD_L7AB_TOT,Subst And Dsqlfy Prsns Tot Grp - Total,PZ,SCHED-A-PART-03-SECTION-A-LINE-07C-COL-F,2020-2022,PZ-501C3,numeric
SA_03_PUB_AMT_CONTR_SBST_TOT,Amts From Subst Contributors - Total,PZ,SCHED-A-PART-03-SECTION-A-LINE-07B-COL-F,2020-2022,PZ-501C3,numeric
SA_03_PUB_AMT_PERS_DSQ_TOT,Amounts Rcvd Dsqlfy Person Grp - Total,PZ,SCHED-A-PART-03-SECTION-A-LINE-07A-COL-F,2020-2022,PZ-501C3,numeric
SA_03_PUB_GIFT_GRANT_CONTR_TOT,Gifts Grants Contrib Received - Total,PZ,SCHED-A-PART-03-SECTION-A-LINE-01-COL-F,1995-2022,PZ-501C3,integer;integer64;numeric
SA_03_PUB_GRO_RCPT_ADM_TOT,Gross Receipts Admissions Grp - Total,PZ,SCHED-A-PART-03-SECTION-A-LINE-02-COL-F,2009-2022,PZ-501C3,integer;integer64;numeric
SA_03_PUB_GRO_RCPT_NONUBIZ_TOT,Gross Receipts From Non UBI - Total,PZ,SCHED-A-PART-03-SECTION-A-LINE-03-COL-F,2020-2022,PZ-501C3,numeric
SA_03_PUB_SUPPORT_TOT,Public support total,PZ,SCHED-A-PART-03-SECTION-A-LINE-08-COL-F,2020-2022,PZ-501C3,numeric
SA_03_PUB_TAXREV_LEVIED_TOT,Tax Rev Levied For Org Benefit509 - Total,PZ,SCHED-A-PART-03-SECTION-A-LINE-04-COL-F,2009-2022,PZ-501C3,integer;numeric
SA_03_PUB_TOT_L1_5_TOT,Total - Total - Total,PZ,SCHED-A-PART-03-SECTION-A-LINE-06-COL-F,2020-2022,PZ-501C3,numeric
SA_03_PUB_VALUE_SVC_GOVT_TOT,Govt Furn Srvc Fclts Vl509 Grp - Total,PZ,SCHED-A-PART-03-SECTION-A-LINE-05-COL-F,2009-2022,PZ-501C3,integer;numeric
SA_03_TOT_ADD_L10AB_TOT,Investment Income And UBTI - Total,PZ,SCHED-A-PART-03-SECTION-B-LINE-10C-COL-F,2009-2022,PZ-501C3,integer;numeric
SA_03_TOT_AMT_L6_TOT,Amts From Line6 - Total,PZ,SCHED-A-PART-03-SECTION-B-LINE-09-COL-F,2020-2022,PZ-501C3,numeric
SA_03_TOT_INCOME_GRO_TOT,Gross Investment Income - Total,PZ,SCHED-A-PART-03-SECTION-B-LINE-10A-COL-F,1995-2010; 2020-2022,PZ-501C3,integer;integer64;numeric
SA_03_TOT_INCOME_NET_UBIZ_TOT,Net Income From Other UBI - Total,PZ,SCHED-A-PART-03-SECTION-B-LINE-11-COL-F,2020-2022,PZ-501C3,numeric;integer
SA_03_TOT_INCOME_OTH_TOT,Other Income - Total,PZ,SCHED-A-PART-03-SECTION-B-LINE-12-COL-F,2020-2022,PZ-501C3,numeric
SA_03_TOT_INCOME_UBIZ_TOT,Post1975 UBTI - Total,PZ,SCHED-A-PART-03-SECTION-B-LINE-10B-COL-F,2020-2022,PZ-501C3,numeric
SA_03_TOT_SUPPORT_TOT,Total Support Calendar Year Grp - Total,PZ,SCHED-A-PART-03-SECTION-B-LINE-13-COL-F,1995-2022,PZ-501C3,integer;integer64;numeric
SC_02_EXP_DIRECT_LOB_FILEORG,Total Direct Lobbying Expenditures - Filing Organization's Totals,PZ,SCHED-C-PART-02-A-LINE-01B-COL-A,1989-2010,PZ-501C3,integer
SC_02_EXP_GRASS_LOB_FILEORG,Total Grassroots Lobbying Expenditures - Filing Organization's Totals,PZ,SCHED-C-PART-02-A-LINE-01A-COL-A,1989-2010,PZ-501C3,integer
SC_02_EXP_GRASS_M_NONTAX_FILEORG,Total Grassroot Lobbying Minus Nontaxable - Filing Organization's Totals,PZ,SCHED-C-PART-02-A-LINE-01H-COL-A,1989-2010,PZ-501C3,integer
SC_02_EXP_GRASS_NONTAX_FILEORG,Grassroots Nontaxable Amount - Filing Organization's Totals,PZ,SCHED-C-PART-02-A-LINE-01G-COL-A,1995-2010,PZ-501C3,integer
SC_02_EXP_LOB_M_NONTAX_FILEORG,Total Lobbying Minus Nontaxable - Filing Organization's Totals,PZ,SCHED-C-PART-02-A-LINE-01I-COL-A,1989-2010,PZ-501C3,integer
SC_02_EXP_LOB_NONTAX_FILEORG,Lobbying Nontaxable Amount - Filing Organization's Totals,PZ,SCHED-C-PART-02-A-LINE-01F-COL-A,1995-2010,PZ-501C3,integer
SC_02_EXP_OTH_EXEMPT_FILEORG,Other exempt purpose expenditures - Filing Organization's Totals,PZ,SCHED-C-PART-02-A-LINE-01D-COL-A,1995-2010,PZ-501C3,integer;integer64
SC_02_EXP_TOT_LOB_FILEORG,Total lobbying expenditures - Filing organization's totals,PZ,SCHED-C-PART-02-A-LINE-01C-COL-A,1996-2010,PZ-501C3,integer
SC_02_LOB_ACT_CONTACT_LEGIS_AMT,Direct contact with legislators; their staffs; government officials; or a legislative body (only for section 501(c)(3))(Amount),PZ,SCHED-C-PART-02-B-LINE-01G-COL-B,1989-2010,PZ-501C3,integer
SJ_02_COMP_DTK_OTH_ORG,Other compensation ($) from filing organization,PC,SCHED-J-PART-02-COL-B(iii)-LINE-(i),2011-2013,PZ-501C3,integer;integer64
SR_02_RLTD_ORG_PCSTAT,Public charity status (if 501(c)(3)),PC,SCHED-R-PART-02-COL-E,1989-2019,PZ-501C3,character
TAX_YEAR,Tax Year,NA,NA,1989-2022,PZ-501C3,integer
DUP_RTRN_X,Indicates duplicate return,NA,NA,,PC-501CE,
F9_00_EXEMPT_STAT_501C3_X,Indicates a 501(c)(3) organization,HD,"F990-EZ-PART-00-SECTION-J;
F990-PC-PART-00-SECTION-I",2012-2019,PC-501CE,integer
F9_00_GROUP_EXEMPT_NUM,Group exemption number,HD,"F990-EZ-PART-00-SECTION-F;
F990-PC-PART-00-SECTION-HC",2012-2013,PC-501CE,integer
F9_00_ORG_ADDR_CITY,Address of Filing Organization (US City),HD,"F990-EZ-PART-00-SECTION-C;
F990-PC-PART-00-SECTION-C",2012-2019,PC-501CE,character
F9_00_ORG_ADDR_L1,Address of Filing Organization (US Line 1),HD,"F990-EZ-PART-00-SECTION-C;
F990-PC-PART-00-SECTION-C",2012-2019,PC-501CE,character
F9_00_ORG_ADDR_STATE,Address of Filing Organization (US State),HD,"F990-EZ-PART-00-SECTION-C;
F990-PC-PART-00-SECTION-C",2012-2019,PC-501CE,character
F9_00_ORG_ADDR_ZIP,Address of Filing Organization (US Zip Code),HD,"F990-EZ-PART-00-SECTION-C;
F990-PC-PART-00-SECTION-C",2012-2019,PC-501CE,character
F9_00_ORG_EIN,Orgainization Employer Identification Number (EIN),HD,F990-PC-PART-00-SECTION-D,2012-2022,PC-501CE,character
F9_00_ORG_NAME_DBA_L1,Doing business as (line 1),HD,F990-PC-PART-00-SECTION-C,2012-2019,PC-501CE,character
F9_00_ORG_NAME_L1,Name of Filing Organization (line 1),HD,F990-PC-PART-00-SECTION-C,2012-2019,PC-501CE,character
F9_00_RETURN_TYPE,Return type,HD,F990-PC-PART-00-LINE-00,2012-2013,PC-501CE,integer
F9_00_TAX_PERIOD_BEGIN_DATE,Tax period begin date,HD,F990-PC-PART-00-SECTION-A,2012-2019,PC-501CE,integer
F9_00_TAX_PERIOD_END_DATE,Tax period end date,HD,F990-PC-PART-00-SECTION-A,2012-2022,PC-501CE,integer
F9_00_TAX_YEAR,Tax year,HD,F990-PC-PART-00-SECTION-A,2012-2019,PC-501CE,integer
F9_03_PROG_CODE,Activity2 - Activity code,PC,F990-PC-PART-03-LINE-04-ABCD,2012-2019,PC-501CE,integer
F9_04_AFS_CONSOL_X,Consolidated audited financial statement?,PC,F990-PC-PART-04-LINE-12B,2012-2022,PC-501CE,character
F9_04_AFS_IND_X,Independent audited financial statements?,PC,F990-PC-PART-04-LINE-12A,2012-2022,PC-501CE,character
F9_04_BIZ_TRANSAC_DTK_ENTITY_X,"Was the organization a party to a business transaction with one of the following parties: An entity of which a current or former officer, director, trustee, or key employee (or a family member thereof) was an officer, director, trustee, or direct, or indirect owner?",PC,F990-PC-PART-04-LINE-28C,2012-2022,PC-501CE,character
F9_04_BIZ_TRANSAC_DTK_FAM_X,"Was the organization a party to a business transaction with one of the following parties: A family member of a current or former officer, director, trustee, or key employee?",PC,F990-PC-PART-04-LINE-28B,2012-2022,PC-501CE,character
F9_04_BIZ_TRANSAC_DTK_X,"Was the organization a party to a business transaction with one of the following parties: A current former officer, director, trustee, or key employee?",PC,F990-PC-PART-04-LINE-28A,2012-2022,PC-501CE,character
F9_04_COLLEC_ART_X,Collections of art?,PC,F990-PC-PART-04-LINE-08,2012-2022,PC-501CE,character
F9_04_COMP_DTK_YES_X,"PartVII; Lines 3; 4; or 5 = ""Yes""?",PC,F990-PC-PART-04-LINE-23,2012-2022,PC-501CE,character
F9_04_CONSERV_EMT_X,Conservation easements?,PC,F990-PC-PART-04-LINE-07,2012-2022,PC-501CE,character
F9_04_CONTR_ART_HIST_X,"Did the organization receive contributions of art, historical treasures, or other similar assets, or qualified conservation contributions?",PC,F990-PC-PART-04-LINE-30,2012-2022,PC-501CE,character
F9_04_CONTR_NONCSH_MT_25K_X,"Did the organization receive more than $25,000 in non-cash contributions?",PC,F990-PC-PART-04-LINE-29,2012-2022,PC-501CE,character
F9_04_CREDIT_COUNS_X,Credit counseling?,PC,F990-PC-PART-04-LINE-09,2012-2022,PC-501CE,character
F9_04_DAF_X,,PZ,"F990-EZ-PART-05-LINE-44A;
F990-PC-PART-04-LINE-06",2012-2022,PC-501CE,character
F9_04_DESC_IN_501C3_X,Described in 501(c)(3)?,PC,F990-PC-PART-04-LINE-01,2012-2022,PC-501CE,character
F9_04_DOA_X,Partial liquidation? (F990-PC-PART-04-LINE-31-32-COMBINED: F990-EZ-PART-05-LINE-36),PZ,F990-PC-PART-04-LINE-32,2012-2022,PC-501CE,character
F9_04_ENDOW_X,Term or permanent endowments?,PC,F990-PC-PART-04-LINE-10,2012-2022,PC-501CE,character
F9_04_ENTITY_CTRL_X,Did the organization have a controlled entity within the meaning of section 512(b)(13)?,PZ,"F990-EZ-PART-05-LINE-45A;
F990-PC-PART-04-LINE-35A",2012-2022,PC-501CE,character
F9_04_ENTITY_DISREG_X,Did the organization own 100% of an entity disregarded as sperate from the organization under Regulations sections 301.7701.2 and 301.7701-3?,PC,F990-PC-PART-04-LINE-33,2012-2022,PC-501CE,character
F9_04_ENTITY_RLTD_X,Related entity?,PC,F990-PC-PART-04-LINE-34,2012-2022,PC-501CE,character
F9_04_FRGN_ACT_X,Foreign activities; etc?,"PC;
PZ",F990-PC-PART-04-LINE-14B,2012-2022,PC-501CE,character
F9_04_FRGN_OFFICE_X,At any time during the calender year; did the organization maintain an office outside of the U.S.?,PZ,"F990-EZ-PART-05-LINE-42C;
F990-PC-PART-04-LINE-14A",2012-2022,PC-501CE,character
F9_04_FUNDR_ACT_X,Fundraising activities?,PC,F990-PC-PART-04-LINE-18,2012-2022,PC-501CE,character
F9_04_GAMING_X,Special events Indicates revenue from gaming,PZ,"F990-EZ-PART-01-LINE-06;
F990-PC-PART-04-LINE-19",2012-2022,PC-501CE,character
F9_04_GRANT_MT_5K_FRGN_INDIV_X,More than $5000 to individuals Part IX; line 3?,PC,F990-PC-PART-04-LINE-16,2012-2022,PC-501CE,character
F9_04_GRANT_MT_5K_FRGN_ORG_X,More than $5000 to organizations Part IX; line 3?,PC,F990-PC-PART-04-LINE-15,2012-2022,PC-501CE,character
F9_04_GRANT_MT_5K_US_INDIV_X,Grants to individuals?,PC,F990-PC-PART-04-LINE-22,2012-2022,PC-501CE,character
F9_04_GRANT_MT_5K_US_ORG_X,Grants to organizations?,PC,F990-PC-PART-04-LINE-21,2012-2022,PC-501CE,character
F9_04_GRANT_RLTD_PERS_X,Grant to related person?,PC,F990-PC-PART-04-LINE-27,2012-2022,PC-501CE,character
F9_04_HOSPITAL_AFS_X,Audited financial statements?,PC,F990-PC-PART-04-LINE-20B,2012-2022,PC-501CE,character;integer
F9_04_HOSPITAL_X,IRS990 - Hospital?,"PZ;
PC","F990-EZ-PART-05-LINE-44B;
F990-PC-PART-04-LINE-20A",2012-2022,PC-501CE,character
F9_04_LOAN_DTK_X,,PZ,"F990-EZ-PART-05-LINE-38A;
F990-PC-PART-04-LINE-26",2012-2022,PC-501CE,character
F9_04_LOB_ACT_X,Lobbying activities?,PZ,"F990-EZ-PART-06-LINE-47;
F990-PC-PART-04-LINE-04",2012-2022,PC-501CE,character
F9_04_LTD_X,Form990 Part IV - Terminated? (F990-PC-PART-04-LINE-31-32-COMBINED: F990-EZ-PART-05-LINE-36),PZ,F990-PC-PART-04-LINE-31,2012-2022,PC-501CE,character
F9_04_POLI_ACT_X,Political activities?,PZ,"F990-EZ-PART-05-LINE-46;
F990-PC-PART-04-LINE-03",2012-2022,PC-501CE,character
F9_04_PROF_FUNDR_X,Professional fundraising?,PC,F990-PC-PART-04-LINE-17,2012-2022,PC-501CE,character
F9_04_PROXY_TAX_X,Subject to proxy tax?,PZ,"F990-EZ-PART-05-LINE-35C;
F990-PC-PART-04-LINE-05",2012-2022,PC-501CE,character
F9_04_PTR_ACT_X,Did the organization conduct more than 5% of its activities through an entity that is not a related organization and thatis treated as a partnership for federal income tax purposes?,PC,F990-PC-PART-04-LINE-37,2012-2022,PC-501CE,character
F9_04_REP_FOOTNOTE_FIN48_X,Balance sheet footnote for liability under FIN 48?,PC,F990-PC-PART-04-LINE-11F,2012-2022,PC-501CE,character
F9_04_REP_INVEST_OTH_SEC_X,Balance sheet investments - other securities amounts reported?,PC,F990-PC-PART-04-LINE-11B,2012-2022,PC-501CE,character
F9_04_REP_LAND_BLDG_EQUIP_X,Balance sheet land; buildings; equipment amounts reported?,PC,F990-PC-PART-04-LINE-11A,2012-2022,PC-501CE,character
F9_04_REP_OTH_ASSET_X,Balance sheet other assets amounts reported?,PC,F990-PC-PART-04-LINE-11D,2012-2022,PC-501CE,character
F9_04_REP_OTH_LIAB_X,Balance sheet other liabilities amounts reported?,PC,F990-PC-PART-04-LINE-11E,2012-2022,PC-501CE,character
F9_04_REP_PROG_RLTD_X,Balance sheet investments - program related amounts reported?,PC,F990-PC-PART-04-LINE-11C,2012-2022,PC-501CE,character
F9_04_SCHED_B_REQ_X,Indicates Schedule B is not required,PZ,"F990-EZ-PART-00-SECTION-H;
F990-PC-PART-04-LINE-02",2012-2022,PC-501CE,character
F9_04_SCHED_O_REQ_X,"Did the organization complete Schedule O and provide explanatios in Schedule O for Part VI, lines 11b and 19?",PC,F990-PC-PART-04-LINE-38,2012-2022,PC-501CE,character
F9_04_SCHOOL_X,IRS990 - School?,PZ,"F990-EZ-PART-06-LINE-48;
F990-PC-PART-04-LINE-13",2012-2022,PC-501CE,character
F9_04_TAX_EXEMPT_BOND_ESCROW_X,Escrow account?,PC,F990-PC-PART-04-LINE-24C,2012-2022,PC-501CE,character
F9_04_TAX_EXEMPT_BOND_INVEST_X,Investment income?,PC,F990-PC-PART-04-LINE-24B,2012-2022,PC-501CE,character
F9_04_TAX_EXEMPT_BOND_ISSUER_X,On behalf of issuer?,PC,"F990-PC-PART-04-LINE-24B;
F990-PC-PART-04-LINE-24D",2012-2022,PC-501CE,character
F9_04_TAX_EXEMPT_BOND_X,Tax exempt bonds?,PC,F990-PC-PART-04-LINE-24A,2012-2022,PC-501CE,character
F9_04_TRANSAC_ENGAGED_X,501(c)(3) and 501(c)(4) orgs: Did the organization engage in any section 4958 excess benefit transaction,PZ,"F990-EZ-PART-05-LINE-40B;
F990-PC-PART-04-LINE-25A",2012-2022,PC-501CE,character
F9_04_TRANSAC_PY_X,Prior excess benefit transaction?,"PZ;
PC",F990-PC-PART-04-LINE-25B,2012-2022,PC-501CE,character
