CENSUS_STATE_ABBR,CENSUS_COUNTY_NAME,CENSUS_CBSA_NAME
CA,Orange County,"Los Angeles-Long Beach-Anaheim, CA"
FL,Putnam County,"Palatka, FL"
PA,Lycoming County,"Williamsport, PA"
PA,Crawford County,"Meadville, PA"
PA,Mercer County,"Youngstown-Warren-Boardman, OH-PA"
PA,Beaver County,"Pittsburgh, PA"
PA,Allegheny County,"Pittsburgh, PA"
PA,Erie County,"Erie, PA"
PA,Franklin County,"Chambersburg-Waynesboro, PA"
OH,Muskingum County,"Zanesville, OH"
OH,Morgan County,""
OH,Butler County,"Cincinnati, OH-KY-IN"
OH,Hamilton County,"Cincinnati, OH-KY-IN"
OH,Miami County,"Dayton-Kettering, OH"
OH,Greene County,"Dayton-Kettering, OH"
OH,Marion County,"Marion, OH"
OH,Warren County,"Cincinnati, OH-KY-IN"
OH,Washington County,"Marietta, OH"
OH,Lake County,"Cleveland-Elyria, OH"
OH,Logan County,"Bellefontaine, OH"
OH,Mahoning County,"Youngstown-Warren-Boardman, OH-PA"
OH,Lucas County,"Toledo, OH"
OH,Hancock County,"Findlay, OH"
OH,Ashtabula County,"Ashtabula, OH"
CO,Pitkin County,"Glenwood Springs, CO"
OH,Seneca County,"Tiffin, OH"
OH,Stark County,"Canton-Massillon, OH"
OH,Allen County,"Lima, OH"
IN,Washington County,"Louisville/Jefferson County, KY-IN"
IN,Marshall County,"Plymouth, IN"
IN,Delaware County,"Muncie, IN"
IN,Wayne County,"Richmond, IN"
IN,Perry County,""
IN,Grant County,"Marion, IN"
IN,Allen County,"Fort Wayne, IN"
IN,Vigo County,"Terre Haute, IN"
IN,Vanderburgh County,"Evansville, IN-KY"
IN,Randolph County,""
IN,Elkhart County,"Elkhart-Goshen, IN"
IN,Kosciusko County,"Warsaw, IN"
IN,Henry County,"New Castle, IN"
IN,Lake County,"Chicago-Naperville-Elgin, IL-IN-WI"
IN,Marion County,"Indianapolis-Carmel-Anderson, IN"
KS,Riley County,"Manhattan, KS"
IL,DuPage County,"Chicago-Naperville-Elgin, IL-IN-WI"
IL,Henry County,"Davenport-Moline-Rock Island, IA-IL"
IL,Lake County,"Chicago-Naperville-Elgin, IL-IN-WI"
IL,Alexander County,"Cape Girardeau, MO-IL"
IL,Fulton County,"Peoria, IL"
IL,Edgar County,""
IL,Madison County,"St. Louis, MO-IL"
IL,Logan County,"Lincoln, IL"
IL,Macon County,"Decatur, IL"
IL,Champaign County,"Champaign-Urbana, IL"
IL,McLean County,"Bloomington, IL"
IL,Shelby County,""
IL,Peoria County,"Peoria, IL"
IL,Pike County,""
MI,Barry County,""
MI,Washtenaw County,"Ann Arbor, MI"
MI,Oakland County,"Detroit-Warren-Dearborn, MI"
MI,Berrien County,"Niles, MI"
MI,Calhoun County,"Battle Creek, MI"
MI,Lenawee County,"Adrian, MI"
MI,Genesee County,"Flint, MI"
MI,Muskegon County,"Muskegon, MI"
MI,Mecosta County,"Big Rapids, MI"
MI,Emmet County,""
MI,Leelanau County,"Traverse City, MI"
MI,Isabella County,"Mount Pleasant, MI"
MI,Grand Traverse County,"Traverse City, MI"
MI,Kent County,"Grand Rapids-Kentwood, MI"
MI,Marquette County,"Marquette, MI"
MI,Kalamazoo County,"Kalamazoo-Portage, MI"
MI,Alpena County,"Alpena, MI"
MI,Huron County,""
MI,Charlevoix County,""
MI,Eaton County,"Lansing-East Lansing, MI"
MI,Midland County,"Midland, MI"
MI,Bay County,"Bay City, MI"
WI,Waukesha County,"Milwaukee-Waukesha, WI"
WI,Rock County,"Janesville-Beloit, WI"
VA,Northumberland County,""
WI,Dunn County,"Menomonie, WI"
WI,Outagamie County,"Appleton, WI"
FL,Broward County,"Miami-Fort Lauderdale-Pompano Beach, FL"
WI,Sheboygan County,"Sheboygan, WI"
FL,Santa Rosa County,"Pensacola-Ferry Pass-Brent, FL"
MN,Mower County,"Austin, MN"
MN,St. Louis County,"Duluth, MN-WI"
MN,Dakota County,"Minneapolis-St. Paul-Bloomington, MN-WI"
MN,Rock County,""
MN,Ramsey County,"Minneapolis-St. Paul-Bloomington, MN-WI"
MN,Stearns County,"St. Cloud, MN"
MN,Carlton County,"Duluth, MN-WI"
IA,Des Moines County,"Burlington, IA-IL"
IA,Marion County,"Pella, IA"
IA,Palo Alto County,""
IA,Johnson County,"Iowa City, IA"
MO,St. Louis County,"St. Louis, MO-IL"
MO,Cole County,"Jefferson City, MO"
MO,Pemiscot County,""
MO,St. Louis city,"St. Louis, MO-IL"
KS,Wyandotte County,"Kansas City, MO-KS"
KS,Johnson County,"Kansas City, MO-KS"
MO,Jackson County,"Kansas City, MO-KS"
ND,Burleigh County,"Bismarck, ND"
ND,Williams County,"Williston, ND"
ND,Cass County,"Fargo, ND-MN"
SD,Hughes County,"Pierre, SD"
NE,Douglas County,"Omaha-Council Bluffs, NE-IA"
NE,Lancaster County,"Lincoln, NE"
KS,Saline County,"Salina, KS"
KS,Dickinson County,""
KS,Harvey County,"Wichita, KS"
KS,Ellis County,"Hays, KS"
KS,Atchison County,"Atchison, KS"
KS,Lyon County,"Emporia, KS"
KS,Geary County,"Manhattan, KS"
KS,Franklin County,"Ottawa, KS"
KS,Seward County,"Liberal, KS"
KS,Brown County,""
KS,Shawnee County,"Topeka, KS"
KS,Russell County,""
KS,Pawnee County,""
CA,Shasta County,"Redding, CA"
AL,Montgomery County,"Montgomery, AL"
IA,Story County,"Ames, IA"
CA,Alameda County,"San Francisco-Oakland-Berkeley, CA"
FL,Seminole County,"Orlando-Kissimmee-Sanford, FL"
VA,Salem city,"Roanoke, VA"
MD,Baltimore city,"Baltimore-Columbia-Towson, MD"
MD,Washington County,"Hagerstown-Martinsburg, MD-WV"
VA,Fairfax County,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
MD,Anne Arundel County,"Baltimore-Columbia-Towson, MD"
MD,Frederick County,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
MD,Montgomery County,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
VA,Petersburg city,"Richmond, VA"
VA,Newport News city,"Virginia Beach-Norfolk-Newport News, VA-NC"
VA,Amherst County,"Lynchburg, VA"
VA,King William County,"Richmond, VA"
VA,Danville city,"Danville, VA"
MD,Kent County,""
VA,Lee County,""
VA,Portsmouth city,"Virginia Beach-Norfolk-Newport News, VA-NC"
VA,Charlottesville city,"Charlottesville, VA"
NJ,Gloucester County,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
VA,Winchester city,"Winchester, VA-WV"
VA,Arlington County,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
VA,Tazewell County,"Bluefield, WV-VA"
VA,Hampton city,"Virginia Beach-Norfolk-Newport News, VA-NC"
WV,Fayette County,"Beckley, WV"
WV,Mercer County,"Bluefield, WV-VA"
WV,Greenbrier County,""
WV,Wood County,"Parkersburg-Vienna, WV"
WV,Jefferson County,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
NC,Moore County,"Pinehurst-Southern Pines, NC"
NC,New Hanover County,"Wilmington, NC"
NC,Catawba County,"Hickory-Lenoir-Morganton, NC"
NC,Forsyth County,"Winston-Salem, NC"
NC,Cleveland County,"Shelby, NC"
NC,Alamance County,"Burlington, NC"
NC,Onslow County,"Jacksonville, NC"
SC,Charleston County,"Charleston-North Charleston, SC"
SC,Kershaw County,"Columbia, SC"
SC,Calhoun County,"Columbia, SC"
SC,Greenville County,"Greenville-Anderson, SC"
GA,Gwinnett County,"Atlanta-Sandy Springs-Alpharetta, GA"
GA,Troup County,"LaGrange, GA-AL"
GA,Peach County,"Warner Robins, GA"
GA,Sumter County,"Americus, GA"
GA,Harris County,"Columbus, GA-AL"
GA,Thomas County,"Thomasville, GA"
GA,Decatur County,"Bainbridge, GA"
GA,Jefferson County,""
GA,Carroll County,"Atlanta-Sandy Springs-Alpharetta, GA"
GA,Clarke County,"Athens-Clarke County, GA"
GA,Floyd County,"Rome, GA"
GA,Cherokee County,"Atlanta-Sandy Springs-Alpharetta, GA"
GA,Hall County,"Gainesville, GA"
GA,Walton County,"Atlanta-Sandy Springs-Alpharetta, GA"
NC,Alexander County,"Hickory-Lenoir-Morganton, NC"
NC,Durham County,"Durham-Chapel Hill, NC"
GA,Rabun County,""
GA,Walker County,"Chattanooga, TN-GA"
GA,Butts County,"Atlanta-Sandy Springs-Alpharetta, GA"
GA,Stephens County,"Toccoa, GA"
FL,Lake County,"Orlando-Kissimmee-Sanford, FL"
FL,Bay County,"Panama City, FL"
FL,Polk County,"Lakeland-Winter Haven, FL"
FL,Monroe County,"Key West, FL"
FL,Duval County,"Jacksonville, FL"
TN,Haywood County,"Brownsville, TN"
TN,Davidson County,"Nashville-Davidson--Murfreesboro--Franklin, TN"
AL,Mobile County,"Mobile, AL"
AL,Madison County,"Huntsville, AL"
AL,Morgan County,"Decatur, AL"
AL,Baldwin County,"Daphne-Fairhope-Foley, AL"
AL,Tallapoosa County,"Alexander City, AL"
MS,Franklin County,""
MS,Jackson County,"Gulfport-Biloxi, MS"
MS,Sunflower County,"Indianola, MS"
MS,Coahoma County,"Clarksdale, MS"
AR,Jefferson County,"Pine Bluff, AR"
AR,Arkansas County,""
AR,Hot Spring County,"Malvern, AR"
AR,Columbia County,"Magnolia, AR"
AR,Garland County,"Hot Springs, AR"
LA,Caddo Parish,"Shreveport-Bossier City, LA"
LA,Rapides Parish,"Alexandria, LA"
MS,Lamar County,"Hattiesburg, MS"
LA,Natchitoches Parish,"Natchitoches, LA"
LA,Jefferson Parish,"New Orleans-Metairie, LA"
LA,Ouachita Parish,"Monroe, LA"
LA,East Baton Rouge Parish,"Baton Rouge, LA"
OK,Muskogee County,"Muskogee, OK"
OK,Harmon County,""
OK,Woods County,""
OK,Cleveland County,"Oklahoma City, OK"
OK,Ottawa County,"Miami, OK"
OK,Osage County,"Tulsa, OK"
TX,Nueces County,"Corpus Christi, TX"
TX,Cameron County,"Brownsville-Harlingen, TX"
TX,Comal County,"San Antonio-New Braunfels, TX"
TX,Bell County,"Killeen-Temple, TX"
TX,Victoria County,"Victoria, TX"
TX,El Paso County,"El Paso, TX"
TX,Galveston County,"Houston-The Woodlands-Sugar Land, TX"
TX,Jim Wells County,"Alice, TX"
TX,McLennan County,"Waco, TX"
TX,Kimble County,""
TX,Austin County,"Houston-The Woodlands-Sugar Land, TX"
TX,Jefferson County,"Beaumont-Port Arthur, TX"
TX,Brazoria County,"Houston-The Woodlands-Sugar Land, TX"
TX,Dallas County,"Dallas-Fort Worth-Arlington, TX"
TX,Anderson County,"Palestine, TX"
TX,Taylor County,"Abilene, TX"
TX,Potter County,"Amarillo, TX"
TX,Bowie County,"Texarkana, TX-AR"
TX,Kaufman County,"Dallas-Fort Worth-Arlington, TX"
TX,Gregg County,"Longview, TX"
TX,Rockwall County,"Dallas-Fort Worth-Arlington, TX"
TX,Scurry County,"Snyder, TX"
TX,Lubbock County,"Lubbock, TX"
TX,Wheeler County,""
TX,Gray County,"Pampa, TX"
TX,Baylor County,""
TX,Martin County,"Midland, TX"
TX,Ellis County,"Dallas-Fort Worth-Arlington, TX"
TX,Williamson County,"Austin-Round Rock-Georgetown, TX"
TX,Wichita County,"Wichita Falls, TX"
TX,Cherokee County,"Jacksonville, TX"
MT,Lewis and Clark County,"Helena, MT"
ID,Bannock County,"Pocatello, ID"
CO,El Paso County,"Colorado Springs, CO"
CO,Larimer County,"Fort Collins, CO"
NM,Bernalillo County,"Albuquerque, NM"
AZ,Yavapai County,"Prescott Valley-Prescott, AZ"
UT,Iron County,"Cedar City, UT"
WA,Thurston County,"Olympia-Lacey-Tumwater, WA"
CO,Chaffee County,""
WA,Yakima County,"Yakima, WA"
CA,Sonoma County,"Santa Rosa-Petaluma, CA"
CA,Santa Cruz County,"Santa Cruz-Watsonville, CA"
CA,Santa Clara County,"San Jose-Sunnyvale-Santa Clara, CA"
CA,Napa County,"Napa, CA"
CA,Contra Costa County,"San Francisco-Oakland-Berkeley, CA"
CA,San Mateo County,"San Francisco-Oakland-Berkeley, CA"
CA,Stanislaus County,"Modesto, CA"
CA,Yolo County,"Sacramento-Roseville-Folsom, CA"
CA,Sacramento County,"Sacramento-Roseville-Folsom, CA"
CA,Ventura County,"Oxnard-Thousand Oaks-Ventura, CA"
CA,Kern County,"Bakersfield, CA"
CA,Santa Barbara County,"Santa Maria-Santa Barbara, CA"
CA,Imperial County,"El Centro, CA"
CA,San Bernardino County,"Riverside-San Bernardino-Ontario, CA"
HI,Maui County,"Kahului-Wailuku-Lahaina, HI"
HI,Kauai County,"Kapaa, HI"
HI,Honolulu County,"Urban Honolulu, HI"
FL,Washington County,""
ID,Gem County,"Boise City, ID"
IA,Dallas County,"Des Moines-West Des Moines, IA"
TN,Knox County,"Knoxville, TN"
IL,Moultrie County,""
VA,Orange County,""
TN,Madison County,"Jackson, TN"
CT,Naugatuck Valley Planning Region,"New Haven-Milford, CT"
MI,Oceana County,""
ME,Hancock County,""
ME,Aroostook County,""
ME,York County,"Portland-South Portland, ME"
ME,Penobscot County,"Bangor, ME"
ME,Cumberland County,"Portland-South Portland, ME"
ME,Somerset County,""
ME,Kennebec County,"Augusta-Waterville, ME"
ME,Androscoggin County,"Lewiston-Auburn, ME"
ME,Waldo County,""
ME,Knox County,""
ME,Lincoln County,""
MI,Chippewa County,"Sault Ste. Marie, MI"
ME,Oxford County,""
ME,Washington County,""
ME,Franklin County,""
NH,Grafton County,"Lebanon, NH-VT"
IN,Hamilton County,"Indianapolis-Carmel-Anderson, IN"
NH,Hillsborough County,"Manchester-Nashua, NH"
VT,Windsor County,"Lebanon, NH-VT"
NH,Rockingham County,"Boston-Cambridge-Newton, MA-NH"
KY,Harlan County,""
OR,Benton County,"Corvallis, OR"
ME,Piscataquis County,""
IL,Jersey County,"St. Louis, MO-IL"
FL,Indian River County,"Sebastian-Vero Beach, FL"
OK,Choctaw County,""
CO,Jefferson County,"Denver-Aurora-Lakewood, CO"
CT,Lower Connecticut River Valley Planning Region,"Hartford-East Hartford-Middletown, CT"
TX,Angelina County,"Lufkin, TX"
TX,Montgomery County,"Houston-The Woodlands-Sugar Land, TX"
TN,Williamson County,"Nashville-Davidson--Murfreesboro--Franklin, TN"
NH,Strafford County,"Boston-Cambridge-Newton, MA-NH"
NH,Cheshire County,"Keene, NH"
MA,Hampshire County,"Springfield, MA"
NH,Coos County,"Berlin, NH"
VT,Chittenden County,"Burlington-South Burlington, VT"
KY,Powell County,""
MN,Wadena County,""
FL,Clay County,"Jacksonville, FL"
NC,Craven County,"New Bern, NC"
NY,Ontario County,"Rochester, NY"
GA,Newton County,"Atlanta-Sandy Springs-Alpharetta, GA"
MN,Nicollet County,"Mankato, MN"
FL,Lee County,"Cape Coral-Fort Myers, FL"
NY,Ulster County,"Kingston, NY"
IL,Rock Island County,"Davenport-Moline-Rock Island, IA-IL"
CO,Adams County,"Denver-Aurora-Lakewood, CO"
UT,Salt Lake County,"Salt Lake City, UT"
NY,Saratoga County,"Albany-Schenectady-Troy, NY"
PA,Lehigh County,"Allentown-Bethlehem-Easton, PA-NJ"
OR,Yamhill County,"Portland-Vancouver-Hillsboro, OR-WA"
NC,Guilford County,"Greensboro-High Point, NC"
VT,Washington County,"Barre, VT"
MD,Howard County,"Baltimore-Columbia-Towson, MD"
VA,Nelson County,"Charlottesville, VA"
FL,Marion County,"Ocala, FL"
NC,Watauga County,"Boone, NC"
IA,Jefferson County,"Fairfield, IA"
FL,Okaloosa County,"Crestview-Fort Walton Beach-Destin, FL"
FL,St. Johns County,"Jacksonville, FL"
MD,Prince George's County,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
TX,Denton County,"Dallas-Fort Worth-Arlington, TX"
GA,Gilmer County,""
MD,St. Mary's County,"California-Lexington Park, MD"
FL,Brevard County,"Palm Bay-Melbourne-Titusville, FL"
SC,Beaufort County,"Hilton Head Island-Bluffton, SC"
FL,Sarasota County,"North Port-Sarasota-Bradenton, FL"
VA,Buena Vista city,""
TN,Washington County,"Johnson City, TN"
CO,La Plata County,"Durango, CO"
GA,Muscogee County,"Columbus, GA-AL"
NE,Sheridan County,""
NC,Iredell County,"Charlotte-Concord-Gastonia, NC-SC"
NY,Montgomery County,"Amsterdam, NY"
TX,Ector County,"Odessa, TX"
TN,Cumberland County,"Crossville, TN"
AR,Baxter County,"Mountain Home, AR"
VA,Hanover County,"Richmond, VA"
VA,Campbell County,"Lynchburg, VA"
UT,Weber County,"Ogden-Clearfield, UT"
"","","Portland-South Portland, ME"
IA,Dubuque County,"Dubuque, IA"
MS,Lauderdale County,"Meridian, MS"
NC,Henderson County,"Asheville, NC"
ND,Grand Forks County,"Grand Forks, ND-MN"
DE,Sussex County,"Salisbury, MD-DE"
GA,Fayette County,"Atlanta-Sandy Springs-Alpharetta, GA"
TN,Bradley County,"Cleveland, TN"
GA,Forsyth County,"Atlanta-Sandy Springs-Alpharetta, GA"
VA,Loudoun County,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
NE,Custer County,""
WA,Skagit County,"Mount Vernon-Anacortes, WA"
